business_id,name,address,hours,is_open,categories,city,state,postal_code,review_count,stars
Apn5Q_b6Nz61Tq4XzPdf9A,Minhas Micro Brewery,1314 44 Avenue NE,"{'Monday': '8:30-17:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0'}",1,"Tours, Breweries, Pizza, Restaurants, Food, Hotels & Travel",Calgary,AB,T2E 6L6,24,4
AjEbIBw6ZFfln7ePHha9PA,CK'S BBQ & Catering,,"{'Friday': '17:0-23:0', 'Saturday': '17:0-23:0', 'Sunday': '17:0-23:0'}",0,"Chicken Wings, Burgers, Caterers, Street Vendors, Barbeque, Food Trucks, Food, Restaurants, Event Planning & Services",Henderson,NV,89002,3,4.5
O8S5hYJ1SMc8fA4QBtVujA,La Bastringue,1335 rue Beaubien E,"{'Monday': '10:0-22:0', 'Tuesday': '10:0-22:0', 'Wednesday': '10:0-22:0', 'Thursday': '10:0-22:0', 'Friday': '10:0-22:0', 'Saturday': '10:0-22:0', 'Sunday': '10:0-22:0'}",0,"Breakfast & Brunch, Restaurants, French, Sandwiches, Cafes",Montréal,QC,H2G 1K7,5,4
bFzdJJ3wp3PZssNEsyU23g,Geico Insurance,211 W Monroe St,,1,"Insurance, Financial Services",Phoenix,AZ,85003,8,1.5
8USyCYqpScwiNEb58Bt6CA,Action Engine,2005 Alyth Place SE,"{'Monday': '8:0-17:0', 'Tuesday': '8:0-17:0', 'Wednesday': '8:0-17:0', 'Thursday': '8:0-17:0', 'Friday': '8:0-17:0'}",1,"Home & Garden, Nurseries & Gardening, Shopping, Local Services, Automotive, Electronics Repair",Calgary,AB,T2H 0N5,4,2
45bWSZtniwPRiqlivpS8Og,The Coffee Bean & Tea Leaf,"20235 N Cave Creek Rd, Ste 1115","{'Monday': '5:30-20:0', 'Tuesday': '5:30-20:0', 'Wednesday': '5:30-20:0', 'Thursday': '5:30-20:0', 'Friday': '5:30-21:0', 'Saturday': '5:30-21:0', 'Sunday': '6:30-19:0'}",1,"Coffee & Tea, Food",Phoenix,AZ,85024,63,4
9A2quhZLyWk0akUetBd8hQ,Bnc Cake House,631 Bloor St W,,0,"Food, Bakeries",Toronto,ON,M6G 1K8,7,4
6OuOZAok8ikONMS_T3EzXg,Thai One On,"3417 Derry Road E, Unit 103",,1,"Restaurants, Thai",Mississauga,ON,L4T 1A8,7,2
8-NRKkPY1UiFXW20WXKiXg,Filiberto's Mexican Food,1440 N. Dysart Ave,"{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",1,"Mexican, Restaurants",Avondale,AZ,85323,40,2.5
UTm5QZThPQlT35mkAcGOjg,Maggie & Stella's Gifts,209 Oakland Ave,"{'Monday': '9:0-18:0', 'Tuesday': '9:0-18:0', 'Wednesday': '9:0-18:0', 'Thursday': '9:0-18:0', 'Friday': '9:0-17:0', 'Saturday': '10:0-17:0'}",1,"Flowers & Gifts, Gift Shops, Shopping",Pittsburgh,PA,15213,3,3.5
KapTdGyGs7RK0c68Z6hhhg,Sushi 8,4568 Highway 7 E,"{'Monday': '11:30-23:0', 'Tuesday': '11:30-23:0', 'Wednesday': '11:30-23:0', 'Thursday': '11:30-23:0', 'Friday': '11:30-23:0', 'Saturday': '11:30-23:0', 'Sunday': '12:0-23:0'}",0,"Restaurants, Japanese",Markham,ON,L3R 1M5,12,1.5
